,apt_names,apt_address,apt_price,apt_type,apt_link
256,1524 Lasalle,"1524 Lasalle Ave, Minneapolis, MN 55403",Call for Rent,1 Bed,https://www.apartments.com/222-hennepin-minneapolis-mn/l0x57td/
257,Westwood Apartments,"3720 W 32nd St, Minneapolis, MN 55416","$995 - 1,095",Studio - 1 Bed,https://www.apartments.com/222-hennepin-minneapolis-mn/l0x57td/
258,University Village,"2515 University Ave SE, Minneapolis, MN 55414","$519 - 2,030",1-4 Beds,https://www.apartments.com/variant-minneapolis-mn/qxyqm8z/
259,Loring Grove Apartments,"125 Oak Grove St, Minneapolis, MN 55403","$1,100",1 Bed,https://www.apartments.com/variant-minneapolis-mn/qxyqm8z/
260,Colfax Manor,"3401 Colfax Ave S, Minneapolis, MN 55408",$745 - 996,Studio - 1 Bed,https://www.apartments.com/variant-minneapolis-mn/qxyqm8z/
261,Oak Grove Downtown Apartments,"116 Oak Grove St, Minneapolis, MN 55403",$850 - 925,Studio - 2 Beds,https://www.apartments.com/variant-minneapolis-mn/qxyqm8z/
262,215 Oak Grove,"215 Oak Grove St, Minneapolis, MN 55403","$974 - 1,639",1-2 Beds,https://www.apartments.com/good-dwelling-minneapolis-mn/wtm638k/
263,Glendale Flats,"711 Glendale St, Saint Paul, MN 55114","$1,295 - 1,495",Studio - 1 Bed,https://www.apartments.com/good-dwelling-minneapolis-mn/wtm638k/
264,4800 Excelsior,"4800 Excelsior Blvd, Saint Louis Park, MN 55416","$1,575 - 2,670",Studio - 2 Beds,https://www.apartments.com/good-dwelling-minneapolis-mn/wtm638k/
265,The Westfield,"4415 Valley View Rd, Edina, MN 55424","$1,899 - 2,595",1-2 Beds,https://www.apartments.com/laurel-village-minneapolis-mn/mbrx6dk/
266,Park Towers,"4820 Highway 7, Saint Louis Park, MN 55416","$1,340 - 2,175",Studio - 3 Beds,https://www.apartments.com/laurel-village-minneapolis-mn/mbrx6dk/
267,The Mason,"2424 Territorial Rd, Saint Paul, MN 55114","$1,360 - 3,650",Studio - 3 Beds,https://www.apartments.com/laurel-village-minneapolis-mn/mbrx6dk/
