,apt_names,apt_address,apt_price,apt_type,apt_link
374,The Finn,"725 Cleveland Ave S, Saint Paul, MN 55116","$1,450 - 3,695",Studio - 2 Beds,https://www.apartments.com/loring-park-minneapolis-mn/q15y60x/
375,Villa Capri,"3043 Inglewood Ave S, Saint Louis Park, MN 55416","$1,725",2 Beds,https://www.apartments.com/loring-park-minneapolis-mn/q15y60x/
376,Aria,"3200 Southdale Cir, Edina, MN 55435","$2,043 - 9,282",Studio - 3 Beds,https://www.apartments.com/loring-park-minneapolis-mn/q15y60x/
377,The Shoreham Apartments,"3030 France Ave S, Saint Louis Park, MN 55416","$1,488 - 3,944",Studio - 2 Beds,https://www.apartments.com/loring-park-minneapolis-mn/q15y60x/
378,Cornelia Place,"4025 W 65th St, Edina, MN 55435","$1,595",1-2 Beds,https://www.apartments.com/rivergate-apartments-minneapolis-mn/tm35jd8/
379,Park Embassy,"4400-4450 Minnetonka Blvd, Saint Louis Park, MN 55416","$1,155 - 1,490",1-2 Beds,https://www.apartments.com/rivergate-apartments-minneapolis-mn/tm35jd8/
380,Birdtown Flats,"3730 W Broadway Ave, Robbinsdale, MN 55422","$1,330 - 2,365",Studio - 2 Beds,https://www.apartments.com/rivergate-apartments-minneapolis-mn/tm35jd8/
381,Queen Terrace Apartments,"6444 Queen Ave S, Richfield, MN 55423","$1,050",1 Bed,https://www.apartments.com/rivergate-apartments-minneapolis-mn/tm35jd8/
382,Joppa Lane,"2888 Joppa Ave S, Saint Louis Park, MN 55416","$1,150 - 1,775",1-2 Beds,https://www.apartments.com/nico-apartments-minneapolis-mn/90srcl7/
383,The Landings at Silver Lake Village,"2551 38th Ave NE, Saint Anthony, MN 55421","$1,413 - 4,149",Studio - 2 Beds,https://www.apartments.com/nico-apartments-minneapolis-mn/90srcl7/
384,LIV Apartments,"4505 W 36 1/2 St, Saint Louis Park, MN 55416","$1,025 - 1,450",Studio - 2 Beds,https://www.apartments.com/nico-apartments-minneapolis-mn/90srcl7/
385,Lauderdale Hollows,"1622 Carl St, Lauderdale, MN 55108","$985 - 1,170",1-2 Beds,https://www.apartments.com/nico-apartments-minneapolis-mn/90srcl7/
386,Crossroads Apartments,"1634 Eustis St, Lauderdale, MN 55108",$860 - 965,Studio - 1 Bed,https://www.apartments.com/bolero-flats-apartments-minneapolis-mn/4f56rgh/
387,Mount Curve Apartments,"760 Mt Curve Blvd, Saint Paul, MN 55116","$1,100 - 1,250",2 Beds,https://www.apartments.com/bolero-flats-apartments-minneapolis-mn/4f56rgh/
388,Southdale Parc,"2720 W 66th St, Richfield, MN 55423","$1,025 - 1,250",1 Bed,https://www.apartments.com/bolero-flats-apartments-minneapolis-mn/4f56rgh/
389,Diamond Eight Terrace,"3200 Diamond Eight Ter, Saint Anthony, MN 55421","$1,070 - 1,095",1 Bed,https://www.apartments.com/lasalle-apartments-minneapolis-mn/t2e56nc/
390,Henley Apartments,"6324 S Lyndale Ave, Richfield, MN 55423","$1,150 - 2,150",Studio - 3 Beds,https://www.apartments.com/lasalle-apartments-minneapolis-mn/t2e56nc/
391,The Pavilion on Berry Apartments,"950 Jefferson Commons Cir, Saint Paul, MN 55114",$709 - 929,2-4 Beds,https://www.apartments.com/lasalle-apartments-minneapolis-mn/t2e56nc/
392,Highcrest Manor Apartments,"3605 37th Ave NE, Saint Anthony, MN 55421","$975 - 1,250",1-2 Beds,https://www.apartments.com/lasalle-apartments-minneapolis-mn/t2e56nc/
393,Equinox,"2808 Silver Ln NE, Saint Anthony, MN 55421","$1,364 - 3,069",1-2 Beds,https://www.apartments.com/deco-265-minneapolis-mn/kqlyc2c/
394,Uptown West Apartments,"3150 Raleigh Ave, Saint Louis Park, MN 55416","$915 - 1,035",Studio - 1 Bed,https://www.apartments.com/deco-265-minneapolis-mn/kqlyc2c/
395,Gateway Commons,"2850 Northway Dr, Brooklyn Center, MN 55430","$900 - 1,350",Studio - 2 Beds,https://www.apartments.com/deco-265-minneapolis-mn/kqlyc2c/
396,Brittany Apartments,"3127 S Highway 100, Saint Louis Park, MN 55416","$850 - 1,400",Studio - 2 Beds,https://www.apartments.com/deco-265-minneapolis-mn/kqlyc2c/
397,2732 Aldrich Ave S,"Minneapolis, MN 55408","$2,545 /mo","4 Beds, 1 Bath",https://www.apartments.com/colfax-villas-i-minneapolis-mn/p63fvcv/
398,4860 Park Commons Dr Unit 204,"Minneapolis, MN 55416","$1,895",2 Beds,https://www.apartments.com/colfax-villas-i-minneapolis-mn/p63fvcv/
399,3639 Stinson Blvd,"Minneapolis, MN 55418","$2,180",4 Beds,https://www.apartments.com/colfax-villas-i-minneapolis-mn/p63fvcv/
400,4745 Minnehaha Ave Unit 103,"Minneapolis, MN 55406","$2,200",2 Beds,https://www.apartments.com/colfax-villas-i-minneapolis-mn/p63fvcv/
401,1240 S 2nd St Unit 932,"Minneapolis, MN 55415","$4,250",3 Beds,https://www.apartments.com/cedars-94-minneapolis-mn/xvejt3q/
402,3624 E 38th St Unit D,"Minneapolis, MN 55406","$1,645",2 Beds,https://www.apartments.com/cedars-94-minneapolis-mn/xvejt3q/
403,2015 Lyndale Ave S Unit 205.990934,"Minneapolis, MN 55405","$1,500",Studio,https://www.apartments.com/cedars-94-minneapolis-mn/xvejt3q/
404,6009 Xerxes Ave S,"Minneapolis, MN 55410","$1,700",2 Beds,https://www.apartments.com/rosa-apartments-mpls-minneapolis-mn/ksh9vt8/
405,Apartment for Rent,"2207 1/2 NE Central Ave Minneapolis, MN 55418",,,https://www.apartments.com/rosa-apartments-mpls-minneapolis-mn/ksh9vt8/
406,Condo for Rent,"7520 Edinborough Way Minneapolis, MN 55435",,,https://www.apartments.com/rosa-apartments-mpls-minneapolis-mn/ksh9vt8/
407,Apartment for Rent,"3325 Clinton Ave Minneapolis, MN 55408",,,https://www.apartments.com/rosa-apartments-mpls-minneapolis-mn/ksh9vt8/
408,Apartment for Rent,"225 Portland Ave Minneapolis, MN 55401",,,https://www.apartments.com/yugo-minneapolis-sydney-hall-minneapolis-mn/z5zyhlw/
409,Condo for Rent,"1820 Girard Ave S Minneapolis, MN 55403",,,https://www.apartments.com/yugo-minneapolis-sydney-hall-minneapolis-mn/z5zyhlw/
410,Apartment for Rent,"5536 S 28th Ave Minneapolis, MN 55417",,,https://www.apartments.com/yugo-minneapolis-sydney-hall-minneapolis-mn/z5zyhlw/
411,Condo for Rent,"2040 Ridge Dr Minneapolis, MN 55416",,,https://www.apartments.com/windom-gables-townhomes-minneapolis-mn/wrwrxbl/
412,Apartment for Rent,"4721 Lyndale Ave S Minneapolis, MN 55419",,,https://www.apartments.com/windom-gables-townhomes-minneapolis-mn/wrwrxbl/
413,Apartment for Rent,"825 Russell Ave N Minneapolis, MN 55411",,,https://www.apartments.com/windom-gables-townhomes-minneapolis-mn/wrwrxbl/
414,Apartment for Rent,"5246 S 34th Ave Minneapolis, MN 55417",,,https://www.apartments.com/windom-gables-townhomes-minneapolis-mn/wrwrxbl/
415,House for Rent,"250 2nd Ave S Minneapolis, MN 55401",,,https://www.apartments.com/stevens-community-apartments-minneapolis-mn/e1t7j5m/
416,House for Rent,"250 2nd Ave S Minneapolis, MN 55401",,,https://www.apartments.com/stevens-community-apartments-minneapolis-mn/e1t7j5m/
417,House for Rent,"250 2nd Ave S Minneapolis, MN 55401",,,https://www.apartments.com/stevens-community-apartments-minneapolis-mn/e1t7j5m/
418,House for Rent,"250 2nd Ave S Minneapolis, MN 55401",,,https://www.apartments.com/stevens-community-apartments-minneapolis-mn/e1t7j5m/
419,Apartment for Rent,"4230 S 39th Ave Minneapolis, MN 55406",,,https://www.apartments.com/landsby-on-penn-richfield-mn/3c142pd/
420,House for Rent,"4230 S 39th Ave Minneapolis, MN 55406",,,https://www.apartments.com/landsby-on-penn-richfield-mn/3c142pd/
421,House for Rent,"4359 Toledo Ave N Minneapolis, MN 55422",,,https://www.apartments.com/landsby-on-penn-richfield-mn/3c142pd/
422,House for Rent,"1411 N Oliver Ave Minneapolis, MN 55411",,,https://www.apartments.com/landsby-on-penn-richfield-mn/3c142pd/
423,House for Rent,"2209 E 33rd St Minneapolis, MN 55407",,,https://www.apartments.com/elan-west-end-saint-louis-park-mn/d55rfgl/
424,Apartment for Rent,"3744 Snelling Ave Minneapolis, MN 55406",,,https://www.apartments.com/elan-west-end-saint-louis-park-mn/d55rfgl/
425,Condo for Rent,"15 1st St S Minneapolis, MN 55401",,,https://www.apartments.com/elan-west-end-saint-louis-park-mn/d55rfgl/
426,Apartment for Rent,"2715 30th Ave S Minneapolis, MN 55406",,,https://www.apartments.com/elan-west-end-saint-louis-park-mn/d55rfgl/
427,Apartment for Rent,"3317 1st Ave S Minneapolis, MN 55408",,,https://www.apartments.com/740-river-drive-saint-paul-mn/2mg0zrb/
428,House for Rent,"2920 Georgia Ave S Minneapolis, MN 55426",,,https://www.apartments.com/740-river-drive-saint-paul-mn/2mg0zrb/
429,House for Rent,"6224 Scott Ave N Minneapolis, MN 55429",,,https://www.apartments.com/740-river-drive-saint-paul-mn/2mg0zrb/
430,House for Rent,"7240 Brooklyn Blvd Minneapolis, MN 55429",,,https://www.apartments.com/ce-flats-saint-paul-mn/snj49s7/
431,Apartment for Rent,"3925 Cedar Ave S Minneapolis, MN 55407",,,https://www.apartments.com/ce-flats-saint-paul-mn/snj49s7/
432,House for Rent,"2045 Louisiana Ave S Minneapolis, MN 55426",,,https://www.apartments.com/ce-flats-saint-paul-mn/snj49s7/
433,House for Rent,"506 113th Ln NW Minneapolis, MN 55448",,,https://www.apartments.com/ce-flats-saint-paul-mn/snj49s7/
434,Apartment for Rent,"695 24th Ave NE Minneapolis, MN 55418",,,https://www.apartments.com/astor-place-of-edina-edina-mn/816nkw3/
435,House for Rent,"2215 Cole Ave SE Minneapolis, MN 55414",,,https://www.apartments.com/astor-place-of-edina-edina-mn/816nkw3/
436,House for Rent,"3339 Dupont Ave N Minneapolis, MN 55412",,,https://www.apartments.com/astor-place-of-edina-edina-mn/816nkw3/
437,Apartment for Rent,"3625 Aldrich Ave S Minneapolis, MN 55409",,,https://www.apartments.com/astor-place-of-edina-edina-mn/816nkw3/
438,Apartment for Rent,"3625 Aldrich Ave S Minneapolis, MN 55409",,,https://www.apartments.com/millennium-edina-edina-mn/sw2gnb5/
439,Apartment for Rent,"755 Fillmore St NE Minneapolis, MN 55413",,,https://www.apartments.com/millennium-edina-edina-mn/sw2gnb5/
440,Apartment for Rent,"3625 Aldrich Ave S Minneapolis, MN 55409",,,https://www.apartments.com/millennium-edina-edina-mn/sw2gnb5/
441,House for Rent,"7901 Perry Ave N Minneapolis, MN 55443",,,https://www.apartments.com/millennium-edina-edina-mn/sw2gnb5/
442,Apartment for Rent,"5737 45th Ave S Minneapolis, MN 55429",,,https://www.apartments.com/midline-apartments-saint-paul-mn/r0t4c93/
443,House for Rent,"3246 N Morgan Ave Minneapolis, MN 55412",,,https://www.apartments.com/midline-apartments-saint-paul-mn/r0t4c93/
444,House for Rent,"250 2nd Ave S Minneapolis, MN 55401",,,https://www.apartments.com/midline-apartments-saint-paul-mn/r0t4c93/
445,Apartment for Rent,"3970 Yosemite Ave S Minneapolis, MN 55416",,,https://www.apartments.com/midline-apartments-saint-paul-mn/r0t4c93/
446,Apartment for Rent,"4220 33rd Ave S Minneapolis, MN 55406",,,https://www.apartments.com/the-lyric-at-carleton-place-saint-paul-mn/f9e9vbs/
447,House for Rent,"3424 17th Ave S Minneapolis, MN 55407",,,https://www.apartments.com/the-lyric-at-carleton-place-saint-paul-mn/f9e9vbs/
448,House for Rent,"2720 N Girard Ave Minneapolis, MN 55411",,,https://www.apartments.com/the-lyric-at-carleton-place-saint-paul-mn/f9e9vbs/
449,Apartment for Rent,"500 W 28th St Minneapolis, MN 55408",,,https://www.apartments.com/the-lyric-at-carleton-place-saint-paul-mn/f9e9vbs/
450,House for Rent,"4016 Nevada Ave N Minneapolis, MN 55427",,,https://www.apartments.com/marshall-lofts-saint-paul-mn/6s6rvbr/
451,House for Rent,"6309 73rd Ave N Minneapolis, MN 55428",,,https://www.apartments.com/marshall-lofts-saint-paul-mn/6s6rvbr/
452,Apartment for Rent,"4310 3rd St NE Minneapolis, MN 55421",,,https://www.apartments.com/marshall-lofts-saint-paul-mn/6s6rvbr/
453,Condo for Rent,"820 S 10th St Minneapolis, MN 55404",,,https://www.apartments.com/verge-saint-louis-park-mn/h830m93/
454,Apartment for Rent,"625 Cleveland Ave S Saint Paul, MN 55116",,,https://www.apartments.com/verge-saint-louis-park-mn/h830m93/
455,Apartment for Rent,"322 Clifton Ave Minneapolis, MN 55403",,,https://www.apartments.com/verge-saint-louis-park-mn/h830m93/
456,Apartment for Rent,"2103 Harriet Ave Minneapolis, MN 55405",,,https://www.apartments.com/verge-saint-louis-park-mn/h830m93/
457,Condo for Rent,"433 S 7th St Minneapolis, MN 55415",,,https://www.apartments.com/ray-saint-paul-mn/pqsfbcs/
458,Apartment for Rent,"2514 Girard Ave S Minneapolis, MN 55405",,,https://www.apartments.com/ray-saint-paul-mn/pqsfbcs/
459,Apartment for Rent,"840 W 65th St Minneapolis, MN 55423",,,https://www.apartments.com/ray-saint-paul-mn/pqsfbcs/
460,Apartment for Rent,"1709 Como Ave SE Minneapolis, MN 55414",,,https://www.apartments.com/ray-saint-paul-mn/pqsfbcs/
461,Apartment for Rent,"6301 Pleasant Ave Minneapolis, MN 55423",,,https://www.apartments.com/the-ruby-saint-anthony-mn/ntmws2q/
462,Townhome for Rent,"2012 30th Ave S Minneapolis, MN 55406",,,https://www.apartments.com/the-ruby-saint-anthony-mn/ntmws2q/
463,House for Rent,"5629 Thomas Ave S Minneapolis, MN 55410",,,https://www.apartments.com/the-ruby-saint-anthony-mn/ntmws2q/
464,Condo for Rent,"317 Groveland Ave Minneapolis, MN 55403",,,https://www.apartments.com/the-ruby-saint-anthony-mn/ntmws2q/
465,Apartment for Rent,"3708 Harriet Ave Minneapolis, MN 55409",,,https://www.apartments.com/arrive-4301-saint-louis-park-mn/y1zh26t/
466,Condo for Rent,"6401 Colony Way Minneapolis, MN 55435",,,https://www.apartments.com/arrive-4301-saint-louis-park-mn/y1zh26t/
467,Townhome for Rent,"4310 3rd St NE Minneapolis, MN 55421",,,https://www.apartments.com/arrive-4301-saint-louis-park-mn/y1zh26t/
468,Apartment for Rent,"1480 47th Ave NE Minneapolis, MN 55421",,,https://www.apartments.com/arrive-4301-saint-louis-park-mn/y1zh26t/
469,Apartment for Rent,"3101 E 24th St Minneapolis, MN 55406",,,https://www.apartments.com/novo-apartments-richfield-mn/0xemhz3/
470,Apartment for Rent,"301 5th St SE Minneapolis, MN 55414",,,https://www.apartments.com/novo-apartments-richfield-mn/0xemhz3/
471,House for Rent,"1725 Bridgewater Rd Minneapolis, MN 55422",,,https://www.apartments.com/novo-apartments-richfield-mn/0xemhz3/
472,House for Rent,"4509 42nd Ave S Minneapolis, MN 55406",,,https://www.apartments.com/novo-apartments-richfield-mn/0xemhz3/
473,Condo for Rent,"4207 Lakeside Ave N Minneapolis, MN 55429",,,https://www.apartments.com/minikahda-court-apartments-saint-louis-park-mn/h4l81w0/
474,House for Rent,"5828 Kellogg Ave Minneapolis, MN 55424",,,https://www.apartments.com/minikahda-court-apartments-saint-louis-park-mn/h4l81w0/
475,House for Rent,"9321 Wyoming Ave S Minneapolis, MN 55438",,,https://www.apartments.com/minikahda-court-apartments-saint-louis-park-mn/h4l81w0/
476,House for Rent,"7501 Duluth St Minneapolis, MN 55427",,,https://www.apartments.com/the-lakes-residences-minneapolis-mn/tb7n05c/
477,House for Rent,"5832 St Johns Ave Minneapolis, MN 55424",,,https://www.apartments.com/the-lakes-residences-minneapolis-mn/tb7n05c/
478,Townhome for Rent,"3733 DuPont Ave S Minneapolis, MN 55409",,,https://www.apartments.com/the-lakes-residences-minneapolis-mn/tb7n05c/
479,House for Rent,"3342 Prospect Terrace SE Minneapolis, MN 55414",,,https://www.apartments.com/311-kenwood-apartments-spacious-1-bedroo-minneapolis-mn/qysqepz/
480,Townhome for Rent,"819 Weeks Ave SE Minneapolis, MN 55414",,,https://www.apartments.com/311-kenwood-apartments-spacious-1-bedroo-minneapolis-mn/qysqepz/
481,House for Rent,"2730 Glenhurst Ave Minneapolis, MN 55416",,,https://www.apartments.com/311-kenwood-apartments-spacious-1-bedroo-minneapolis-mn/qysqepz/
482,House for Rent,"1078 11th Ave SE Minneapolis, MN 55414",,,https://www.apartments.com/the-abbey-apartments-minneapolis-mn/ktg7bb9/
